reviewer_id,review_role,review_content,seller_code,seller_name
중고나라#9795471,구매자,너무너무 감사합니다. 정말 잘 쓸게요. 포장부터 배송까지 너무 신걍써주셔서 감격입니다. 최고입니다. 건강하세요!,931784,누데티네
중고나라#7197413,구매자,좋은제품 감사합니다 👍,931784,누데티네
초콜입니다,구매자,감사합니다:),931784,누데티네
중고나라#7430190,구매자,"좋은 사람이 판매하는 좋은 가격, 좋은 상품!",932220,별이하우스
마미송맘,구매자,상태는 깨끗하고 예뻐서 맘에 드네요 ㅎ,932220,별이하우스
검정모자2025,구매자,"직접쓰신 포스트잇도 감동이지만, 서비스로 과자하고 초콜렛 주신것이 너무 좋았습니다! 헤헷",935188,착한사장님은선물천사
중고나라#7831802,구매자,간식도 보내주시고. 닉넴맞는분 같네요. 선의에 감사드리며 가방 잘쓰겠습니다.^^,935188,착한사장님은선물천사
중고나라#8836160,구매자,일정후 가방을 받고 열어봤는데 신문지로 포장을 잘 해서 보내주셨더라구요. 제품도 상태가 많이 좋아서 매우 만족스럽습니다. 배송도 엄청 빨리 보내주셨고 심지어 가방에 과자류도 넣어 주셨네요... 감사합니다..ㅠㅠ 항상 건강하시고 행운이 가득하시길 바라겠습니다. 잘쓰겠습니다. 감사합니다.,935188,착한사장님은선물천사
에포닌67,구매자,생각보다 커서 이것저것 넣기 좋겠어요^^,935188,착한사장님은선물천사
중고나라#6854044,구매자,귀한 쿠키로 가득 채워주시고 사랑의 멘트까지 고맙습니다. 물건도 정확합니다.,935188,착한사장님은선물천사
중고나라#9656660,구매자,친절하게 제품과 특별이벤트 까지 제품도 맘에들어 거래 좋았어요,935188,착한사장님은선물천사
중고나라#8765264,구매자,"빠르고 친절한 응대에, 과자선물까지 감사합니다... 무엇보다 물건이 맘에 듭니다...",935188,착한사장님은선물천사
알든99088041,구매자,가격대비 제품이 좋고 배송이 매우 빠릅니다,935188,착한사장님은선물천사
중고나라#7487365,구매자,감사합니다. 잘받았습니다,935188,착한사장님은선물천사
중고나라#7379715,구매자,늦게 확인 했습니다. 감사합니다,935188,착한사장님은선물천사
중고나라#9037741,구매자,잘 받았습니다,937190,daewon
사루카,구매자,잘쓰겠습니다 :),937190,daewon
Jayson56,구매자,급하게 필요해서 바로 연락드렸는데 바로 답장 주셔서 빠르게 거래 완료했네요! 매너도 좋으시고 감사합니다~,937373,잭스페로오
호벤제임스07,구매자,잘 입을게요 새해 복 많이 받으세요,937373,잭스페로오
Wolfgang7,구매자,좋은칼 저렴하게 구매했습니다. 감사합니다^^,937656,한그루상점
중고나라#9380153,구매자,감사합니다 잘쓰겠습니다,937656,한그루상점
중고나라#11201623,구매자,저렴한가격에 좋은제품 감사합니다,937656,한그루상점
중고나라#10667143,구매자,감사합니다. 잘 사용할께요^^,937656,한그루상점
쿤투,구매자,감사합니다 ㅎㅎ,938791,문화적상남자
믕믕상점,구매자,친절하시고 상품상태 최상입니다.,941272,Gloriouss
